,,,trial,trial,trial,trial,trial,trial,trial,trial,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,baseline_log10_improvement,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_instant_time,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute,speedup_infinite_compute
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
n_experiments,setting,taste_level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,budget_0.1,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,23.17511595417934,42.603572891098224,1.0,2.0937068568988004,4.060888846918506,20.485433503227206,136.0111189032265,10.0,0.7909220912928261,0.7262729033623497,0.0,0.2829284199701968,0.6082542618529527,1.2297547705653136,2.1335744133770587,10.0,29.624984153437445,37.69481111667715,2.7384196342643605,4.980545449313883,12.800579227470454,33.877121713731334,98.21718891880376,10.0,27.57056790958753,37.697296211127586,2.2875732003183944,5.122879957822404,11.879394319116821,19.118696069482564,98.21718891880376
5000,budget_0.1,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1046.787798649599,1273.194101117698,40.19542824983633,288.1749598122679,621.7935416634086,1091.1593148483103,4271.430535705279,10.0,2.7347028113067906,0.5760325712364393,1.6041766600800647,2.457388925678336,2.778261683410282,3.0376169021060226,3.6305733480265734,10.0,9.614824884807101,5.125038731597839,4.531583637600815,6.607016725772472,8.741064739456545,10.23017668625283,22.87573200318393,10.0,10.075719957175703,5.893058077474341,3.8542288686231063,6.7622518277712595,9.176812734789126,11.19297759707397,24.582440689201984
5000,budget_10,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1.6336230420028012e+34,5.130397104798033e+34,2.9948030422768336e+27,8.38689363325967e+28,8.88764533407855e+31,2.7947402107026952e+32,1.6234942046717927e+35,10.0,30.9081608945597,2.5360067651382074,27.47636826563517,28.742099681977972,31.779249980340765,32.438902434464566,35.210450742679576,10.0,3.074492523525753,1.1821973856540635,2.053525026457146,2.251260484969965,2.5714247346916803,3.279693576625204,5.523158417307098,10.0,3.7517117150870654,0.8689862492438215,2.4144182212566383,3.3276941513256277,3.7861277662687893,3.977612858833548,5.139696800771512
5000,budget_10,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,2.2645253476700627e+84,6.036695386098911e+84,1.7424062757831798e+71,1.526042889419642e+76,4.72344149793678e+80,9.871802354459752e+81,1.916458501531036e+85,10.0,78.93223736260475,4.793593932493986,71.24114942665246,75.26953792545359,79.68357909243431,81.99407214033333,85.2824994195981,10.0,4.867262342167839,0.7783287632786009,3.5226946514731012,4.255584978867139,5.098827098762136,5.327978945865641,6.042963902381327,10.0,4.938702662128233,0.8483360596293172,3.651741272548376,4.31618369639767,5.153008279480444,5.5983495432543915,6.042963902381327
5000,corr_all_0.7,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,515.3991987535187,639.0215697898981,68.7226175787404,111.32662193370628,228.2012220133003,749.8464412162791,2076.4324341243073,10.0,2.4351352593473163,0.5162365889589635,1.8370996929994492,2.046594987907403,2.3578562880929717,2.8560488383154934,3.317317803991824,10.0,2.4004781177664762,0.811175980504444,1.333521432163324,1.8959485009211192,2.293497865358285,2.8327617399506133,4.067944321083047,10.0,2.2963605460250114,0.7308085540570605,1.333521432163324,1.5881406842920085,2.4371195684181313,2.7661261605639025,3.3376246942920385
5000,corr_all_0.7,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,647334.3096733675,688334.8622682721,14086.505283260816,155691.83086635114,357546.22586982424,1052216.5436850607,1982485.0069877969,10.0,5.45776168071043,0.7087951983611057,4.148803262488531,5.183266388111105,5.539601580565386,6.009959934620756,6.297209911547226,10.0,2.201652739983543,0.5951432562475458,1.7465760476621182,1.8517883177008874,1.982239000713793,2.2673634175099444,3.718026663914474,10.0,2.1882983734517056,0.34566578050582886,1.6548170999431813,1.9899462225953366,2.1290961054235678,2.493496709099646,2.689598785575043
5000,corr_all_0.9,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,19.531598384781482,8.77152462235532,8.227388011308095,14.038296824301067,16.585088070615296,23.212897974748582,37.458699822895795,10.0,1.2532844639846412,0.18998604103408606,0.9152619795228454,1.1460864818387873,1.2195661602932173,1.3634407991504924,1.5735526991059217,10.0,1.6142316157665106,0.2792582561281092,1.2188141848422898,1.4590242156305606,1.5127172716161335,1.8037809641657925,2.1673921695684175,10.0,1.4611894604885811,0.25885793461397805,1.0746078283213174,1.2994633540758123,1.4590242156305606,1.5540272691978836,1.9456400615886353
5000,corr_all_0.9,Optimal from all ideas (100% visibility),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,79.07463256127312,32.641016905208645,30.1619506136075,56.84948019196037,74.06271382405676,100.70018802239214,137.11807107220298,10.0,1.8615320285618118,0.19442004887930758,1.4794594245098256,1.7543525912442073,1.8684583774836292,2.0019371643400357,2.1370946951232406,10.0,1.8257184975646719,0.38637206644462047,1.3823722273578996,1.6109581832017519,1.7001463878893588,2.1445393743245167,2.458244068920197,10.0,1.8402911420295047,0.20859004400256914,1.5124725453106231,1.7782794100389228,1.826990617718116,1.8685189682844416,2.329096592460546
5000,corr_sw_compute_0.7,Optimal from 10% of ideas (worse taste),10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1284.328564066733,1456.4048073783338,156.10670764810814,416.0766324815221,821.9053135038193,1207.310995715864,4902.613386736022,10.0,2.8963662032317625,0.4511147328634983,2.1934215643819153,2.617725176504937,2.884160117225867,3.0817697981495247,3.6904276467384607,10.0,1.977177432156506,0.4917682713519486,1.2188141848422898,1.640199847842858,1.8957575107887301,2.395366568961295,2.7881266654131327,10.0,25.35555331316826,16.630569715798003,9.139816994654902,15.86993969739747,21.13873435181491,27.894640536655878,67.31703824144984
