,AGI_Researchers_Total,Total_AGI_Hires,PA_AGI_Researchers_Total,PA_AGI_Researchers_Growth_Rate
2011,60.74640000000001,60.74640000000001,60.74640000000001,
2012,74.64600000000002,13.899600000000007,83.75796000000001,0.37881355932203387
2013,89.01750000000001,14.371499999999997,110.693154,0.3215836918664208
2014,113.416875,24.399374999999992,151.69650209999998,0.3704235232108388
2015,246.20789375000004,132.79101875000003,307.24199616500005,1.0253729777003215
2016,338.0888671875,91.88097343749996,440.61522035537496,0.4340982868720482
2017,436.32608398437503,98.23721679687503,595.3665915678608,0.35121658096075814
2018,481.7076049804688,45.38152099609374,723.5805618670659,0.21535298102898492
2019,645.424506225586,163.71690124511724,965.4660854419064,0.33428969256816377
2020,751.0626327819825,105.63812655639651,1192.0267668607444,0.23466456754422205
2021,1092.350490977478,341.2878581954956,1621.7087188181397,0.3604633418501011
2022,1517.9021137218476,425.5516227443695,2162.143596216471,0.33325027554404874
2023,2452.7506421523094,934.8485284304618,3106.662749570223,0.4368438594950692
2024,4959.710052690387,2506.9594105380775,5152.671850700934,0.6585874509274483
2025,8927.478094842696,3967.768042152309,8301.2219214722,0.6110519283976836
2026,16069.460570716854,7141.982475874158,13608.76550100711,0.6393689543230077
2027,28925.029027290337,12855.568456573483,22596.716424305247,0.6604530677402727
2028,52065.05224912261,23140.02322183227,37864.97161578253,0.6756846837735504
2029,88510.58882350843,36445.53657438582,61318.29364591778,0.6193936250135639
2030,141616.94211761348,53106.35329410505,95119.74543972983,0.5512457993204831
2031,212425.4131764202,70808.47105880672,140552.40373512683,0.4776364579758494
2032,297395.57844698825,84970.16527056805,197163.01828195466,0.40277229732414543
2033,386614.25198108476,89218.67353409651,262176.40562584024,0.32974432989716473
2034,502598.5275754102,115984.27559432545,345269.95070268284,0.31693754012108877
2035,653378.0858480333,150779.5582726231,451112.7923357991,0.3065509796543491
2036,849391.5116024433,196013.42575440998,585534.3622353954,0.29797773901196667
2037,1019269.8139229319,169878.3023204886,728325.8459345677,0.24386525011792148
2038,1223123.7767075181,203853.96278458624,900230.6382995569,0.23602731294590495
2039,1467748.5320490217,244624.75534150354,1106692.977685767,0.2293438265733725
2040,1761298.238458826,293549.7064098043,1354124.552089687,0.2235774323980353
2041,1937428.0623047086,176129.82384588267,1603656.9827212412,0.184275833597785
2042,2131170.8685351796,193742.806230471,1892707.8965993437,0.1802448509827912
2043,2344287.955388698,213117.08685351815,2227299.0540503077,0.17677907829947181
2044,2578716.750927568,234428.79553887015,2614359.708902163,0.17378028071622964
2045,2836588.426020325,257871.6750927572,3061862.9228352914,0.17117124793858096
2046,3120247.268622358,283658.8426020327,3578982.3354502902,0.16889045187435925
2047,3432271.995484594,312024.7268622359,4176272.458796075,0.16688825687390185
2048,3775499.1950330534,343227.1995484596,4865876.025429999,0.16512418033969012
2049,4153049.114536359,377549.9195033056,5661762.4484606655,0.16356487893879978
2050,4568354.025989995,415304.91145363636,6580002.060810657,0.16218264554699657
2051,5025189.428588996,456835.4025990004,7639081.50104179,0.1609542718138075
2052,5527708.371447896,502518.94285889994,8860266.418207519,0.1598601765145704
2053,6080479.208592686,552770.8371447902,10268018.594088538,0.15888372983775523
2054,6688527.129451955,608047.9208592689,11890475.64594345,0.15801072397638505
2055,7357379.842397151,668852.7129451958,13760002.697399976,0.15722895425922956
2056,8093117.826636867,735737.9842397161,15913826.8132804,0.1565278847138163
2057,8902429.609300554,809311.7826636871,18394766.613550056,0.1558983787733108
2058,9792672.57023061,890242.9609300569,21252071.343882658,0.15533248071915406
2059,10771939.827253673,979267.2570230626,24542385.821988657,0.15482323698546718
2060,11849133.809979042,1077193.9827253688,28330860.14175411,0.15436454903953067
2061,12441590.500477994,592456.6904989518,32636457.50629632,0.15197552573409556
2062,13063670.025501894,622079.5250239,37587754.55466165,0.15171061526546215
2063,13716853.52677699,653183.5012750961,43281606.58922575,0.1514815689850233
2064,14402696.20311584,685842.6763388496,49829397.20684602,0.15128344656342407
2065,15122831.013271632,720134.8101557922,57359217.543036245,0.151112009341259
2066,15878972.563935215,756141.550663583,66018372.40276712,0.1509636154508902
2067,16672921.192131976,793948.628196761,75976262.31088693,0.15083513188371844
2068,17506567.251738574,833646.0596065987,87427697.87010543,0.15072386046526498
2069,18381895.614325505,875328.3625869304,100596711.27267532,0.15062747531263576
2070,19300990.395041782,919094.7807162777,115740939.53882542,0.15054396982323293
2071,20266039.91479387,965049.5197520889,133156665.24095999,0.1504716116140774
2072,21279341.910533566,1013301.9957396947,153184613.3364865,0.1504089041227037
2073,22343309.006060246,1063967.0955266804,176216617.52556846,0.15035455381207052
2074,23460474.45636326,1117165.4503030144,202703286.56254125,0.15030744210675628
2075,24633498.179181423,1173023.7228181623,233162820.51403946,0.15026660133653214
2076,25865173.088140495,1231674.908959072,268191149.45584473,0.15023119408394758
2077,27158431.74254752,1293258.6544070244,308473592.9742592,0.15020049543076586
2078,28516353.329674896,1357921.5871273763,354798268.5926855,0.15017387767870272
2079,29942170.99615864,1425817.666483745,408071511.462195,0.15015079718629654
2080,31439279.545966573,1497108.5498079322,469335607.00567955,0.15013078301880012
2081,32382457.932345573,943178.3863789998,539767889.2977886,0.15006805629230002
2082,33353931.67031594,971473.7379703671,620764327.1970263,0.1500579036011387
2083,34354549.62042542,1000617.9501094781,713909558.8093019,0.1500492659313395
2084,35385186.10903818,1030636.4886127636,821025917.6389662,0.15004191708585468
2085,36446741.69230933,1061555.5832711458,944209086.9054008,0.15003566467264973
2086,37540143.94307861,1093402.25076928,1085869102.0069585,0.15003034504342838
2087,38666348.261370964,1126204.318292357,1248777503.3543355,0.15002581899262202
2088,39826338.709212095,1159990.4478411302,1436121562.1288238,0.1500219681018149
