,ratio_default,ratio_faster_2x,ratio_compute_2x,ratio_both_2x,ratio_humans_2x,ratio_instant_time,ratio_infinite_compute
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,2.721687903682862,2.6943441984536864,2.6650101336260006,2.658172668125409,2.6898152167670184,3.297665968609482,3.282662424784795
std,0.3650435855884548,0.30559980933150205,0.4228064248276131,0.34901881669386814,0.298237301363111,0.3493432781811103,0.7022844086256895
min,2.173397140933103,2.026909869951931,2.089178315606194,2.0013188152853605,2.183278600289638,2.8303495519726396,2.534434044892166
25%,2.3803288027512024,2.5220584215493793,2.3242094881263746,2.4147513785431465,2.446407099143697,3.002401473730685,2.701509866957417
50%,2.8285846210987944,2.7963095290023325,2.7124313910594755,2.755350390318218,2.850704383725368,3.2561971883800576,3.17401919902733
75%,2.9979796581040676,2.8903895905199777,2.9431170537469367,2.92518473464765,2.8968803407695147,3.5673438104854758,3.504062948367885
max,3.164956956545259,3.055825556426097,3.310443402851156,3.065348542777062,3.025113716442935,3.8910076079683544,4.627840871122509
