,,,trial,trial,trial,trial,trial,trial,trial,trial,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_improvement_10_percent_taste,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,baseline_log10_improvement_10_percent,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,min_time_budget_100_percent_taste,taste_speedup,taste_speedup,taste_speedup,taste_speedup,taste_speedup,taste_speedup,taste_speedup,taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup,log10_taste_speedup
,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
n_experiments,setting,scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,budget_0.1,default,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,41.44392006820702,72.87734620353062,1.7619927036115826,7.355143393224921,18.08189693240398,35.42204101800657,244.90203555191826,10.0,1.2295552988207366,0.5990235389380779,0.2460041056720629,0.8477514071833211,1.2568907673853373,1.5453514597175806,2.3889923948645744,10.0,0.04516474377087873,0.021054293899002773,0.014855080171727746,0.03361137645503192,0.04106192796617855,0.05078203280794515,0.0805842187761482,10.0,2.7721752577195717,1.5914588453867444,1.2409377607517194,1.9750627736199342,2.4371195684181313,2.9898372478150517,6.731703824144985,10.0,0.39062499999999994,0.21725680848556472,0.09374999999999993,0.2949218749999999,0.38671874999999994,0.474609375,0.8281250000000001
5000,budget_0.1,infinite_compute,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,102066.74542056603,191125.15549454803,541.3763291070877,3709.1190694421757,12647.561815011775,114240.80226963534,610157.985038825,10.0,4.179727708832814,1.020416917056581,2.7334992629547825,3.5526250838175937,4.054439266881398,5.001688661642623,5.785442299186406,10.0,0.026385168613282044,0.011663036534164234,0.011341944035027578,0.019726113028057643,0.023662241808324064,0.03278121151393459,0.04450794062355998,10.0,4.627621468493048,2.29310590313791,2.2467900918126436,3.0505278902670256,4.284186695456208,5.07219141349329,8.816830667755703,10.0,0.6203124999999998,0.20634467524023967,0.35156249999999983,0.484375,0.6289062499999998,0.7050781249999999,0.9453124999999997
5000,budget_0.1,instant_time,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,198963.9383138668,245585.4264307547,2006.238532988915,12475.569921834829,160388.48859271035,248418.5768017715,807752.360942304,10.0,4.787648042412753,0.8929495981993449,3.3023825674691367,4.063755467354757,5.1886661474330324,5.395163933120462,5.907278236070946,10.0,0.024360419865030958,0.010828438408564896,0.01154781984689459,0.016367648809725063,0.02259266306981156,0.02891650290723053,0.04216965034285824,10.0,4.909050038408455,2.1517296209307912,2.3713737056616546,3.4615915648440128,4.556747097562134,6.139705613421962,8.659643233600647,10.0,0.6523437499999998,0.19537325443966783,0.3749999999999999,0.5390624999999998,0.6523437499999999,0.7871093749999998,0.9374999999999997
5000,budget_10,default,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,4.2079740061303286e+32,6.937168053474044e+32,1.1286984601272881e+27,1.8744999733482092e+27,6.444314439633772e+30,6.273804713397559e+32,2.1550350722771714e+33,10.0,30.15290858279289,2.7327980112061705,27.05257793254118,27.27283236751143,30.44937144196637,32.79407282373662,33.33345434251183,10.0,1.9925858072051763,0.4274329642238823,1.3823722273579,1.701968573059664,1.8768842935762189,2.3060528605800643,2.738419634264362,10.0,5.223753032340214,1.0866215100680903,3.651741272548376,4.3683548149401705,5.327978945865641,5.888395661038826,7.233941627366746,10.0,0.709375,0.09176131477310519,0.5624999999999999,0.6386718749999999,0.7265625,0.7695312499999999,0.8593749999999999
5000,budget_10,infinite_compute,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,4.717746325834422e+56,1.2737156200040427e+57,7.669640090384413e+50,1.4010021419508197e+52,4.1104994113465495e+54,1.828735601244958e+56,4.0775140014926316e+57,10.0,54.089160700258205,2.3774471623863893,50.88477498449299,52.14146576869688,54.29019400675759,56.07281364041547,57.610395461008586,10.0,1.0824826363642557,0.16342334995540023,0.9305720409296991,0.982171889188038,1.0373039141606588,1.1347384455974232,1.4855080171727753,10.0,9.398348803273334,1.1931984543727567,6.731703824144981,8.821162527524734,9.652860204648494,10.181517217181817,10.746078283213173,10.0,0.96953125,0.06000330032879214,0.8281249999999999,0.9453124999999999,0.9843749999999999,1.0078125,1.03125
5000,budget_10,instant_time,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,2.998885007352313e+59,9.344038074800408e+59,3.1216096895351713e+49,3.3171940188436616e+53,4.247758091230606e+55,2.6538609708224525e+57,2.9590559393883515e+60,10.0,55.054023720348724,3.395400889707131,49.49437860011077,53.4735354999221,55.08259232821348,57.22957948251186,60.47115317534585,10.0,1.1854345486950841,0.15815449427428557,0.9305720409296991,1.0602391577392818,1.1864141482082207,1.3275778901976407,1.4074646633398438,10.0,8.576985287665337,1.1841233198792331,7.104974114426786,7.532971770839254,8.42944181200911,9.43240654473956,10.746078283213173,10.0,0.9296875,0.05904054192059705,0.8515624999999999,0.876953125,0.9257812499999999,0.9746093749999999,1.03125
5000,corr_all_0.7,default,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,1086.9125473762801,855.2746648443159,116.33115233827107,448.8145664425039,983.2660561025222,1586.999407313644,2840.422321530331,10.0,2.87632600519084,0.43799781111042374,2.065696030093389,2.6518096435188725,2.9926673465682776,3.1969717812181004,3.4533829169042387,10.0,0.4729258837380879,0.11848456278821824,0.2890263910022451,0.3907657731738092,0.4795245431563755,0.5680309297055792,0.6493816315762113,10.0,2.2499018057613354,0.6166881973274877,1.539926526059492,1.7643166659997693,2.0962150767006396,2.5604755582830605,3.4598916608699315,10.0,0.33828125,0.114349311208937,0.18750000000000003,0.24609375,0.32031249999999994,0.40820312499999994,0.5390624999999999
5000,corr_all_0.7,infinite_compute,10.0,4.5,3.0276503540974917,0.0,2.25,4.5,6.75,9.0,10.0,205100.2608831255,225398.4431053507,18963.776099367496,34870.527038961765,60188.3487530432,374897.1200800289,626496.9461913167,10.0,5.00141561520839,0.5741653729412416,4.277924819069233,4.541115505774962,4.779462616910735,5.5727871932927,5.796918958402009,10.0,0.40184233175426315,0.06294022455795927,0.321967844425138,0.34950350590215773,0.4035596951454465,0.44114730992878676,0.5048065716667471,10.0,2.5447697495530353,0.4022572178530281,1.9809567785503386,2.2673667169746192,2.482963213532835,2.8674574622534843,3.105900223624704,10.0,0.4007812499999999,0.06850987896373047,0.29687499999999994,0.35546874999999994,0.39453124999999994,0.45703124999999994,0.4921874999999999
