n_experiments,setting,trial,scenario,baseline_improvement_10_percent_taste,baseline_log10_improvement_10_percent,min_time_budget_100_percent_taste,taste_speedup,log10_taste_speedup
5000,current_lognormal,0,default,116442800207.07681,11.066112640771058,0.47828581416537913,2.090800041278718,0.32031249999999994
5000,current_lognormal,0,instant_time,1.1229204535770179e+21,21.050348992418048,0.31059002236247046,3.2196784442513793,0.5078125
5000,current_lognormal,0,infinite_compute,2.986700986827161e+23,23.47519174544604,0.18768842935762192,5.32797894586564,0.7265624999999999
5000,current_lognormal,1,default,1166009124.2097273,9.066701948860759,0.4216965034285823,2.371373705661655,0.37499999999999994
5000,current_lognormal,1,instant_time,4.916809746776654e+16,16.691683403831423,0.10554496008786035,9.47463525655375,0.9765624999999998
5000,current_lognormal,1,infinite_compute,3.468758489923358e+17,17.540174063420945,0.24144182212566395,4.141784514364405,0.6171875
5000,current_lognormal,2,default,6398657715.726104,9.806088879016214,0.4293510210083482,2.329096592460546,0.3671875
5000,current_lognormal,2,instant_time,5.039063603764856e+20,20.702349840115993,0.220673406908459,4.531583637600818,0.65625
5000,current_lognormal,2,infinite_compute,3.4178334591215882e+19,19.533750897019406,0.12409377607517198,8.058421877614817,0.90625
5000,current_lognormal,3,default,100621653.03033225,8.00269144771498,0.2942727176209282,3.398208328942559,0.5312499999999999
5000,current_lognormal,3,instant_time,1.0740811079562967e+19,19.031037077832668,0.22467900918126443,4.450794062355996,0.6484375
5000,current_lognormal,3,infinite_compute,3.898550860057469e+19,19.590903204350777,0.23713737056616557,4.216965034285821,0.6249999999999999
5000,current_lognormal,4,default,88903998.97226304,7.948921296319221,0.31059002236247046,3.2196784442513793,0.5078125
5000,current_lognormal,4,instant_time,6.914835462481634e+16,16.839781850593347,0.1778279410038923,5.62341325190349,0.75
5000,current_lognormal,4,infinite_compute,4.902211475218019e+18,18.69039204223618,0.20169145547303305,4.958068241684655,0.6953125
5000,current_lognormal,5,default,30704765.223647848,7.48720578100612,0.2838735964758755,3.522694651473101,0.5468749999999999
5000,current_lognormal,5,instant_time,5.6151363711995176e+16,16.749360308155847,0.13823722273579,7.233941627366745,0.8593749999999999
5000,current_lognormal,5,infinite_compute,1.1722517999658259e+21,21.069020908260644,0.27384196342643613,3.651741272548377,0.5625
5000,current_lognormal,6,default,6785620.327333092,6.8315895561111795,0.2788126665413133,3.586637624484769,0.5546875
5000,current_lognormal,6,instant_time,1.2392863020805211e+17,17.093171649435035,0.14074646633398435,7.104974114426787,0.8515625
5000,current_lognormal,6,infinite_compute,7.748549444833568e+17,17.889220408691227,0.220673406908459,4.531583637600818,0.65625
5000,current_lognormal,7,default,475534639.62167716,8.677182157968732,0.35226946514731017,2.8387359647587544,0.45312499999999994
5000,current_lognormal,7,instant_time,2.1350040704053875e+19,19.329398707348357,0.1778279410038923,5.62341325190349,0.75
5000,current_lognormal,7,infinite_compute,2.3700033571652685e+17,17.374748961198847,0.1512472545310624,6.611690262414814,0.8203124999999999
5000,current_lognormal,8,default,3490736679.0552673,9.542917089390965,0.32781211513934594,3.0505278902670248,0.4843749999999999
5000,current_lognormal,8,instant_time,2.1992681456689126e+18,18.342278183924105,0.1910952974970441,5.232991146814945,0.7187499999999999
5000,current_lognormal,8,infinite_compute,1643255785654823.5,15.215705170040213,0.06853895838650086,14.5902421563056,1.1640624999999998
5000,current_lognormal,9,default,612154041.3817624,8.786860721008573,0.23290965924605464,4.293510210083481,0.6328124999999999
5000,current_lognormal,9,instant_time,8.805403336870782e+16,16.944749253882563,0.12188141848422895,8.204696109024992,0.9140625000000001
5000,current_lognormal,9,infinite_compute,1.5903977015645116e+21,21.201505739413292,0.21673921695684178,4.6138396827332135,0.6640625
5000,budget_0.1,0,default,18.81087445370383,1.2744089848959927,0.052329911468149484,1.9109529749704401,0.2812499999999999
5000,budget_0.1,0,instant_time,2006.238532988915,3.3023825674691367,0.018434229924091116,5.424690937011323,0.7343749999999998
5000,budget_0.1,0,infinite_compute,610157.985038825,5.785442299186406,0.03278121151393459,3.0505278902670256,0.484375
5000,budget_0.1,1,default,4.411265298922022,0.6445631775682844,0.014855080171727746,6.731703824144985,0.8281250000000001
5000,budget_0.1,1,instant_time,9388.982482745127,3.972618528786514,0.01154781984689459,8.659643233600647,0.9374999999999997
5000,budget_0.1,1,infinite_compute,18257.204990535196,4.261434291812855,0.019456400615886365,5.139696800771511,0.7109374999999999
5000,budget_0.1,2,default,44.10669562251581,1.6445045226012949,0.03219678444251379,3.105900223624705,0.4921875
5000,budget_0.1,2,instant_time,807752.360942304,5.907278236070946,0.04216965034285824,2.3713737056616546,0.3749999999999999
5000,budget_0.1,2,infinite_compute,831.7088462702595,2.9199713207763143,0.012188141848422903,8.204696109024987,0.9140624999999998
5000,budget_0.1,3,default,17.352919411104132,1.239372549874682,0.0791475543941116,1.2634629176544687,0.10156250000000008
5000,budget_0.1,3,instant_time,244290.61623347033,5.387906785040185,0.02738419634264362,3.651741272548376,0.5624999999999999
5000,budget_0.1,3,infinite_compute,5644.315773368748,3.751611302530108,0.03278121151393459,3.0505278902670256,0.484375
5000,budget_0.1,4,default,1.7619927036115826,0.2460041056720629,0.026416483203860926,3.78551524925863,0.578125
5000,budget_0.1,4,instant_time,4751.473776880287,3.67682833676022,0.026416483203860926,3.78551524925863,0.578125
5000,budget_0.1,4,infinite_compute,3064.0535014666516,3.4862963442467554,0.020908000412787203,4.7828581416537865,0.6796874999999996
5000,budget_0.1,5,default,11.453525026249618,1.0589391691076815,0.04613839682733216,2.1673921695684166,0.33593749999999983
