n_experiments,setting,trial,taste_level,scenario_type,multiplier,baseline_improvement,baseline_log10_improvement,baseline_num_experiments,speedup
5000,current_lognormal,2,Optimal from 10% of ideas (worse taste),impl_time_multiplier,0.01,11957963.564739127,7.077657225814617,7,98.21718891880374
5000,current_lognormal,2,Optimal from 10% of ideas (worse taste),impl_time_multiplier,1.0,11957963.564739127,7.077657225814617,7,0.9821718891880378
5000,current_lognormal,2,Optimal from 10% of ideas (worse taste),impl_time_multiplier,100.0,11957963.564739127,7.077657225814617,7,0.009999999999999995
5000,current_lognormal,3,Optimal from all ideas (100% visibility),compute_multiplier,0.01,5.679713648461994e+18,18.75432644063572,17,0.009999999999999995
5000,current_lognormal,3,Optimal from all ideas (100% visibility),compute_multiplier,1.0,5.679713648461994e+18,18.75432644063572,17,0.9821718891880378
5000,current_lognormal,3,Optimal from all ideas (100% visibility),compute_multiplier,100.0,5.679713648461994e+18,18.75432644063572,17,4.293510210083481
5000,current_lognormal,3,Optimal from all ideas (100% visibility),compute_multiplier,1000000.0,5.679713648461994e+18,18.75432644063572,17,4.6975888167064905
5000,current_lognormal,3,Optimal from all ideas (100% visibility),impl_time_multiplier,0.01,5.679713648461994e+18,18.75432644063572,17,98.21718891880374
5000,current_lognormal,3,Optimal from all ideas (100% visibility),impl_time_multiplier,1.0,5.679713648461994e+18,18.75432644063572,17,0.9821718891880378
5000,current_lognormal,3,Optimal from all ideas (100% visibility),impl_time_multiplier,100.0,5.679713648461994e+18,18.75432644063572,17,0.010554496008786022
5000,current_lognormal,3,Optimal from 10% of ideas (worse taste),compute_multiplier,0.01,29167816.22580677,7.464903915011893,8,0.009999999999999995
5000,current_lognormal,3,Optimal from 10% of ideas (worse taste),compute_multiplier,1.0,29167816.22580677,7.464903915011893,8,0.8353625469578262
5000,current_lognormal,3,Optimal from 10% of ideas (worse taste),compute_multiplier,100.0,29167816.22580677,7.464903915011893,8,7.233941627366745
5000,current_lognormal,3,Optimal from 10% of ideas (worse taste),compute_multiplier,1000000.0,29167816.22580677,7.464903915011893,8,7.498942093324555
5000,current_lognormal,3,Optimal from 10% of ideas (worse taste),impl_time_multiplier,0.01,29167816.22580677,7.464903915011893,8,83.53625469578256
5000,current_lognormal,3,Optimal from 10% of ideas (worse taste),impl_time_multiplier,1.0,29167816.22580677,7.464903915011893,8,0.8353625469578262
5000,current_lognormal,3,Optimal from 10% of ideas (worse taste),impl_time_multiplier,100.0,29167816.22580677,7.464903915011893,8,0.013823722273578995
5000,current_lognormal,4,Optimal from all ideas (100% visibility),compute_multiplier,0.01,9.738608321619165e+18,18.988496899237493,18,0.009999999999999995
5000,current_lognormal,4,Optimal from all ideas (100% visibility),compute_multiplier,1.0,9.738608321619165e+18,18.988496899237493,18,0.9139816994654906
5000,current_lognormal,4,Optimal from all ideas (100% visibility),compute_multiplier,100.0,9.738608321619165e+18,18.988496899237493,18,3.785515249258629
5000,current_lognormal,4,Optimal from all ideas (100% visibility),compute_multiplier,1000000.0,9.738608321619165e+18,18.988496899237493,18,4.6975888167064905
5000,current_lognormal,4,Optimal from all ideas (100% visibility),impl_time_multiplier,0.01,9.738608321619165e+18,18.988496899237493,18,91.39816994654896
5000,current_lognormal,4,Optimal from all ideas (100% visibility),impl_time_multiplier,1.0,9.738608321619165e+18,18.988496899237493,18,0.9139816994654906
5000,current_lognormal,4,Optimal from all ideas (100% visibility),impl_time_multiplier,100.0,9.738608321619165e+18,18.988496899237493,18,0.010366329284376974
5000,current_lognormal,4,Optimal from 10% of ideas (worse taste),compute_multiplier,0.01,1323016559.1416023,9.121565279938686,9,0.009999999999999995
5000,current_lognormal,4,Optimal from 10% of ideas (worse taste),compute_multiplier,1.0,1323016559.1416023,9.121565279938686,9,0.9821718891880378
5000,current_lognormal,4,Optimal from 10% of ideas (worse taste),compute_multiplier,100.0,1323016559.1416023,9.121565279938686,9,3.785515249258629
5000,current_lognormal,4,Optimal from 10% of ideas (worse taste),compute_multiplier,1000000.0,1323016559.1416023,9.121565279938686,9,4.141784514364405
5000,current_lognormal,4,Optimal from 10% of ideas (worse taste),impl_time_multiplier,0.01,1323016559.1416023,9.121565279938686,9,98.21718891880374
5000,current_lognormal,4,Optimal from 10% of ideas (worse taste),impl_time_multiplier,1.0,1323016559.1416023,9.121565279938686,9,0.9821718891880378
5000,current_lognormal,4,Optimal from 10% of ideas (worse taste),impl_time_multiplier,100.0,1323016559.1416023,9.121565279938686,9,0.01286396944936975
5000,current_lognormal,5,Optimal from all ideas (100% visibility),compute_multiplier,0.01,4517101296872292.0,15.654859829808549,13,0.009999999999999995
5000,current_lognormal,5,Optimal from all ideas (100% visibility),compute_multiplier,1.0,4517101296872292.0,15.654859829808549,13,0.8976871324473142
5000,current_lognormal,5,Optimal from all ideas (100% visibility),compute_multiplier,100.0,4517101296872292.0,15.654859829808549,13,8.353625469578262
5000,current_lognormal,5,Optimal from all ideas (100% visibility),compute_multiplier,1000000.0,4517101296872292.0,15.654859829808549,13,9.139816994654902
5000,current_lognormal,5,Optimal from all ideas (100% visibility),impl_time_multiplier,0.01,4517101296872292.0,15.654859829808549,13,89.76871324473134
5000,current_lognormal,5,Optimal from all ideas (100% visibility),impl_time_multiplier,1.0,4517101296872292.0,15.654859829808549,13,0.8976871324473142
5000,current_lognormal,5,Optimal from all ideas (100% visibility),impl_time_multiplier,100.0,4517101296872292.0,15.654859829808549,13,0.013335214321633242
5000,current_lognormal,5,Optimal from 10% of ideas (worse taste),compute_multiplier,0.01,776367.1239241554,5.890067136452766,5,0.009999999999999995
5000,current_lognormal,5,Optimal from 10% of ideas (worse taste),compute_multiplier,1.0,776367.1239241554,5.890067136452766,5,0.9139816994654906
5000,current_lognormal,5,Optimal from 10% of ideas (worse taste),compute_multiplier,100.0,776367.1239241554,5.890067136452766,5,8.058421877614817
5000,current_lognormal,5,Optimal from 10% of ideas (worse taste),compute_multiplier,1000000.0,776367.1239241554,5.890067136452766,5,8.058421877614817
5000,current_lognormal,5,Optimal from 10% of ideas (worse taste),impl_time_multiplier,0.01,776367.1239241554,5.890067136452766,5,91.39816994654896
5000,current_lognormal,5,Optimal from 10% of ideas (worse taste),impl_time_multiplier,1.0,776367.1239241554,5.890067136452766,5,0.9139816994654906
5000,current_lognormal,5,Optimal from 10% of ideas (worse taste),impl_time_multiplier,100.0,776367.1239241554,5.890067136452766,5,0.01263462917654469
5000,current_lognormal,6,Optimal from all ideas (100% visibility),compute_multiplier,0.01,1751793787383711.2,15.243482981813653,12,0.009999999999999995
5000,current_lognormal,6,Optimal from all ideas (100% visibility),compute_multiplier,1.0,1751793787383711.2,15.243482981813653,12,0.9821718891880378
5000,current_lognormal,6,Optimal from all ideas (100% visibility),compute_multiplier,100.0,1751793787383711.2,15.243482981813653,12,6.378043838892177
5000,current_lognormal,6,Optimal from all ideas (100% visibility),compute_multiplier,1000000.0,1751793787383711.2,15.243482981813653,12,7.365250122712279
5000,current_lognormal,6,Optimal from all ideas (100% visibility),impl_time_multiplier,0.01,1751793787383711.2,15.243482981813653,12,98.21718891880374
5000,current_lognormal,6,Optimal from all ideas (100% visibility),impl_time_multiplier,1.0,1751793787383711.2,15.243482981813653,12,0.9821718891880378
5000,current_lognormal,6,Optimal from all ideas (100% visibility),impl_time_multiplier,100.0,1751793787383711.2,15.243482981813653,12,0.011547819846894581
5000,current_lognormal,6,Optimal from 10% of ideas (worse taste),compute_multiplier,0.01,49531088.62683551,7.694877873297051,10,0.009999999999999995
5000,current_lognormal,6,Optimal from 10% of ideas (worse taste),compute_multiplier,1.0,49531088.62683551,7.694877873297051,10,0.8058421877614819
5000,current_lognormal,6,Optimal from 10% of ideas (worse taste),compute_multiplier,100.0,49531088.62683551,7.694877873297051,10,3.4598916608699315
5000,current_lognormal,6,Optimal from 10% of ideas (worse taste),compute_multiplier,1000000.0,49531088.62683551,7.694877873297051,10,3.398208328942559
5000,current_lognormal,6,Optimal from 10% of ideas (worse taste),impl_time_multiplier,0.01,49531088.62683551,7.694877873297051,10,80.58421877614815
5000,current_lognormal,6,Optimal from 10% of ideas (worse taste),impl_time_multiplier,1.0,49531088.62683551,7.694877873297051,10,0.8058421877614819
5000,current_lognormal,6,Optimal from 10% of ideas (worse taste),impl_time_multiplier,100.0,49531088.62683551,7.694877873297051,10,0.010746078283213167
5000,current_lognormal,7,Optimal from all ideas (100% visibility),compute_multiplier,0.01,152764025926491.1,14.184021095201544,15,0.009999999999999995
5000,current_lognormal,7,Optimal from all ideas (100% visibility),compute_multiplier,1.0,152764025926491.1,14.184021095201544,15,0.9821718891880378
5000,current_lognormal,7,Optimal from all ideas (100% visibility),compute_multiplier,100.0,152764025926491.1,14.184021095201544,15,5.523158417307099
5000,current_lognormal,7,Optimal from all ideas (100% visibility),compute_multiplier,1000000.0,152764025926491.1,14.184021095201544,15,5.935229272296985
5000,current_lognormal,7,Optimal from all ideas (100% visibility),impl_time_multiplier,0.01,152764025926491.1,14.184021095201544,15,98.21718891880374
5000,current_lognormal,7,Optimal from all ideas (100% visibility),impl_time_multiplier,1.0,152764025926491.1,14.184021095201544,15,0.9821718891880378
5000,current_lognormal,7,Optimal from all ideas (100% visibility),impl_time_multiplier,100.0,152764025926491.1,14.184021095201544,15,0.013335214321633242
