time,cumulative_progress,automation_fraction,progress_rate,software_progress_rate,coding_labor,research_stock,research_effort,experiment_capacity,human_only_experiment_capacity,human_only_progress_rate,ai_labor_contribution,human_labor_contribution,ai_software_progress_multiplier,training_compute,software_efficiency,effective_compute,inference_compute,experiment_compute
# AC Level Reached at:,Time: 2030.4451,Progress Level: 29.8772

2012.0,0.0,8.18355420402185e-06,1.7684251655495231,1.168425165549523,13.369430254769332,0.05820954138726963,0.04800381762935218,0.048003817629350465,0.0,1.768408528386629,0.0035565947693303457,13.365873660000002,1.0000456005874676,18.661999999999924,-14.024900147719068,4.637099852280858,0.0016236718380000005,0.0029147715089999993
2012.1,0.1768381634872544,8.896366178048015e-06,1.7683410477967874,1.1683410477967873,13.724872108300273,0.06321507782254605,0.05212799361113203,0.052127993611130165,0.0,1.7683240763023433,0.0036849907062741494,13.721187117593999,1.0000460232880506,18.72199999999987,-13.90806198423176,4.813938015768112,0.0018415020236120458,0.003348193237694971
2012.2,0.3536660408370817,9.671218672942026e-06,1.7682071534193868,1.168207153419387,14.089763794907315,0.06864778248532433,0.05660138672019165,0.05660138672018963,0.0,1.7681898433240635,0.003817697760180039,14.085946097147135,1.0000464459641725,18.781999999999954,-13.791234106882014,4.990765893117938,0.0020885560884922045,0.0038460640644850906
2012.3,0.5304775631139926,1.051347713884925e-05,1.7680018153980752,1.1680018153980751,14.464356548060632,0.07454514734746825,0.061453071251385806,0.061453071251383606,0.0,1.7679841627524135,0.003954853129556568,14.460401694931075,1.000046868601325,18.8419999999999,-13.674422584605049,5.167577415394852,0.00236875467897698,0.004417967464238247
2012.4,0.7072626854486557,1.1428943941401236e-05,1.7676820808821572,1.167682080882157,14.848908279642549,0.08094963351830978,0.0667144945187685,0.06671449451876611,0.0,1.7676640824155205,0.004096597370933708,14.844811682271615,1.0000472911754998,18.90199999999998,-13.557637462270467,5.344362537729513,0.0026865444313864217,0.005074911958775969
2012.5,0.8840113629701312,1.2423910777493542e-05,1.7672628254061684,1.1672628254061683,15.243683758246307,0.08790370210712481,0.07241966603618939,0.0724196660361868,0.0,1.767244477672095,0.0042430752573761055,15.239440682988931,1.0000477136626842,18.961999999999925,-13.440888784748937,5.52111121525099,0.003046968538307411,0.005829543019
2012.6,1.0606894743465993,1.3505045056210843e-05,1.7665883081264933,1.1665883081264932,15.648954786212226,0.09546712672082787,0.07860536135839667,0.07860536135839387,0.0,1.7665696102444493,0.004394430644298453,15.644560355567927,1.0000481359813187,19.02199999999987,-13.324210673372415,5.697789326627458,0.0034557467819894116,0.006696386476538641
2012.7,1.2373177803380089,1.46799135673755e-05,1.766044701929478,1.1660447019294782,16.06500040374767,0.10365992131645159,0.08531134168808242,0.08531134168807937,0.0,1.7660256468768472,0.004550823585084629,16.060449580162587,1.0000485581810266,19.08199999999995,-13.207582367381086,5.874417632618869,0.003919366304933186,0.00769212813028969
2012.8,1.4139040254858437,1.5956671062031224e-05,1.765583131067543,1.165583131067543,16.492107067009762,0.11253717147233083,0.09258059041127598,0.09258059041127267,0.0,1.7655637124540977,0.004712416438547251,16.487394650571215,1.0000489802803219,19.141999999999896,-13.090996122233197,6.0510038777667035,0.0044451845581689065,0.008835934929992212
2012.9,1.5904382752525112,1.734404445008791e-05,1.7650522683066519,1.1650522683066518,16.93056884387306,0.12217017571067154,0.10045956783284977,0.10045956783284618,0.0,1.765032482190446,0.004879372548266758,16.925689471324795,1.0000494022554538,19.20199999999998,-12.97446187246661,6.227538127533371,0.0050415460609839055,0.010149823919293042
2013.0,1.7669105950988129,1.8851491372165206e-05,1.7643866970722568,1.164386697072257,17.380687620136104,0.13263023255359524,0.1089984854611694,0.1089984854611655,0.0,1.7643665406687035,0.005051860136102704,17.37563576,1.0000498240826792,19.261999999999926,-12.857989552620255,6.404010447379672,0.005717914825,0.01165908604
2013.1,1.9433110504867552,2.048925926687338e-05,1.7635849671683705,1.1635849671683707,17.842773307318957,0.1439886405232882,0.11825160128216362,0.11825160128215939,0.0,1.7635644378108202,0.0052300524409787386,17.83754325487798,1.0000502457382496,19.32199999999987,-12.741589097232257,6.580410902767614,0.006485024544225036,0.013392772954628034
2013.2,2.119629706878343,2.226844896707425e-05,1.7626916256410254,1.1626916256410256,18.317144056163187,0.15631669814194477,0.12827753759035776,0.12827753759035318,0.0,1.7626707199597598,0.005414127861445905,18.31172992830174,1.000050667198418,19.38199999999995,-12.625270440840751,6.756729559159201,0.007355048934156373,0.015384256261503039
2013.3,2.2958549844355325,2.4201064340580146e-05,1.7617638055786773,1.1617638055786772,18.804126475094918,0.16968845012538947,0.13913962299866026,0.1391396229986553,0.0,1.761742519215185,0.005604269670541839,18.798522205424376,1.000051088435506,19.441999999999897,-12.509045163283508,6.932954836716391,0.008341794923813031,0.01767186986006022
2013.4,2.4719558231042584,2.6299856249101333e-05,1.7606474965811025,1.1606474965811024,19.304055850276605,0.18421552190529666,0.15090626043349897,0.1509062604334936,0.0,1.7606258280733393,0.005800661307244326,19.29825518896936,1.0000515093752664,19.50199999999998,-12.392944324614863,7.109055675385118,0.009460921765975204,0.020299647837541415
2013.5,2.6479782839500206,2.8579599319373685e-05,1.7597743713084677,1.1597743713084678,19.81727640243192,0.1999241765382414,0.16365132301291171,0.16365132301290586,0.0,1.7597523110910922,0.0060035125290767155,19.811272889902842,1.0000519301278024,19.561999999999927,-12.276921863769047,7.285078136230879,0.01073018954306338,0.023318172077499994
