time,cumulative_progress,automation_fraction,progress_rate,software_progress_rate,coding_labor,research_stock,research_effort,experiment_capacity,human_only_progress_rate,ai_labor_contribution,human_labor_contribution,ai_software_progress_multiplier
2035.0,45.32351774098781,1.0,1.5877257204993955,1.3377257204993955,1.0889652970142635e+21,1540067769.8712487,1454077675.557737,1944969.2879683573,0.25004692198539924,1.0889652970142634e+21,108896.34759999994,9266.197342972857
2035.1,45.48096472688041,1.0,1.562199134552506,1.312199134552506,1.1179139489889554e+21,1690881420.9788923,1566006630.3440976,2006710.9044770745,0.25004374981039745,1.1179139489889553e+21,111791.20795655253,9672.427257384748
2035.2,45.635956926405406,1.0,1.5380292372906006,1.2880292372906006,1.1476321612549895e+21,1853323725.2712612,1684836273.1549163,2070407.3257924346,0.25004086063535813,1.1476321612549894e+21,114763.02421354962,10086.223667958435
2035.3,45.788613692633945,1.0,1.515129061383422,1.265129061383422,1.1781403915192899e+21,2028086454.4087186,1810931377.691929,2136120.265444602,0.25003822354530436,1.1781403915192897e+21,117813.84213826295,10507.586646486347
2035.4,45.93905437863858,1.0,1.4934392718096308,1.2434392718096308,1.2094596413291915e+21,2215861380.053164,1944678735.0081809,2203913.3791432097,0.25003581210319625,1.2094596413291915e+21,120945.76188191466,10936.542129355332
2035.5,46.08739243027211,1.0,1.472874181670774,1.222874181670774,1.2416114705291495e+21,2417424589.3812556,2086485680.4818187,2273852.3256874243,0.2500336022546654,1.2416114705291495e+21,124160.93942534388,11373.125687544496
2035.6,46.23371684675156,1.0,1.4533186772029953,1.2033186772029953,1.2746180121027813e+21,2633661794.8151,2236770151.0588145,2346004.829781356,0.25003157215610994,1.2746180121027813e+21,127461.58806321204,11817.324005392164
2035.7,46.378130841226984,1.0,1.434815888781544,1.184815888781544,1.3085019874087868e+21,2865180623.117051,2395982117.043229,2420440.746810279,0.25002970633550775,1.3085019874087868e+21,130849.9799275898,12269.187492816754
2035.8,46.52071607634725,1.0,1.4172343887859087,1.1672343887859087,1.3432867218218651e+21,3112993588.412133,2564584408.5116687,2497232.1296400903,0.2500279868263058,1.343286721821865e+21,134328.4475520456,12728.721079922423
2035.9,46.66155421476254,1.0,1.4004858307848667,1.1504858307848667,1.3789961607901786e+21,3378113204.8275557,2743065454.8599734,2576453.2975048004,0.25002639869261895,1.3789961607901783e+21,137899.38547739206,13195.947610159015
2036.0,46.80072691912175,1.0,1.384512618805383,1.134512618805383,1.415654886318545e+21,3661551986.4881907,2931941040.2908373,2658180.907042565,0.2500249293009565,1.4156548863185448e+21,141565.2518999999,13670.908758059468
2036.1,46.938315852074744,1.0,1.3682454815147753,1.1182454815147753,1.441702053083242e+21,3964322447.5206976,3128864968.8944745,2739962.172948593,0.25002351424331815,1.4417020530832418e+21,144169.96422075114,14153.665911701068
2036.2,47.074402676271355,1.0,1.3527233890190467,1.1027233890190467,1.468228471467181e+21,4287437102.0519114,3336914240.323768,2824249.653729176,0.2500222033549497,1.4682284714671808e+21,146822.6016232841,14644.301023221396
2036.3,47.2090690543605,1.0,1.3379333325404086,1.0879333325404086,1.4952429594010546e+21,4631908464.206441,3556664896.838608,2911119.8171089,0.25002098768259284,1.4952429594010544e+21,149524.04589919344,15142.917430967447
2036.4,47.34239664899233,1.0,1.3238687480475961,1.0738687480475961,1.5227544970602204e+21,4998749048.111935,3788726323.105513,3000651.4525196813,0.25001985925350545,1.5227544970602202e+21,152275.19506451403,15649.640657054775
2036.5,47.474363563885234,1.0,1.3104214546418311,1.0604214546418311,1.5507722298494466e+21,5389371160.314713,4033641505.5394883,3092925.7412041216,0.25001880951782257,1.5507722298494464e+21,155076.9636581909,16164.21024197241
2036.6,47.60471263300093,1.0,1.29731949974156,1.04731949974156,1.5793054714433729e+21,5805930564.005595,4291723403.89871,3188026.328425775,0.2500178290057152,1.5793054714433726e+21,157930.28304613306,16685.395735498972
2036.7,47.73381958610969,1.0,1.2848576650202157,1.0348576650202157,1.6083637068824783e+21,6248541868.563656,4563940797.534099,3286039.3978438843,0.250016915902896,1.608363706882478e+21,160836.10173080227,17214.480557206985
