doubling_number,time_to_do_doubling,cumulative_time,horizon_length
1,2.000,2.000,4
2,1.700,3.700,16
3,1.445,5.145,256
4,1.228,6.373,65536
5,1.044,7.417,4294967296
6,0.887,8.304,18446744073709551616
7,0.754,9.058,340282366920938463463374607431768211456
8,0.641,9.699,115792089237316195423570985008687907853269984665640564039457584007913129639936
