year,horizon_minutes
2021.0,0.11629040974471007
2021.054,0.12067494414232321
2021.108,0.12526536549033682
2021.162,0.13007328126290504
2021.215,0.135015605493263
2021.269,0.14029182711203317
2021.323,0.14582492764523222
2021.377,0.15162992746244291
2021.431,0.15772287497090323
2021.485,0.16412092742151238
2021.538,0.17071491107998835
2021.592,0.1777729878409427
2021.646,0.18519481154025003
2021.7,0.19300290875238607
2021.754,0.20122143988531074
2021.808,0.20987633534810157
2021.862,0.21899544456888043
2021.915,0.2284259956902563
2021.969,0.23855553464307833
2022.023,0.2492453970654166
2022.077,0.2605328550665602
2022.131,0.2724580865549707
2022.185,0.2850644357494142
2022.238,0.2981448567364025
2022.292,0.31224270356738426
2022.346,0.3271726667972691
2022.4,0.34299385068757116
2022.454,0.35977028334251815
2022.508,0.37757138876095164
2022.562,0.3964725102123951
2022.615,0.41617232104697915
2022.669,0.4375017619373234
2022.723,0.46019703563856756
2022.777,0.48436349214620034
2022.831,0.5101160214363528
2022.885,0.5375800486338274
2022.938,0.5663321424666223
2022.992,0.5976048237000667
2023.046,0.6310371239804433
2023.1,0.6668088578175313
2023.154,0.7051174341712779
2023.208,0.7461798416343497
2023.262,0.790234888167288
2023.315,0.8366383187902775
2023.369,0.8874268471709215
2023.423,0.942076142892056
2023.477,1.000940525195743
2023.531,1.0644125793155184
2023.585,1.1329279286471938
2023.638,1.2055461457210384
2023.692,1.28553754714705
2023.746,1.3721841587860364
2023.8,1.4661553869837665
2023.854,1.5681999849697104
2023.908,1.6791569293436248
2023.962,1.799967995906071
2024.015,1.9291468755505634
2024.069,2.0727420029193904
2024.123,2.229764845141621
2024.177,2.401736408654858
2024.231,2.5903811502105043
2024.285,2.797658513972863
2024.338,3.02137083663882
2024.392,3.272465214477409
2024.446,3.5498288741318187
2024.5,3.8567979988727745
2024.554,4.197210201100436
2024.608,4.575492061576797
2024.662,4.996764167740367
2024.715,5.457775604404908
2024.769,5.982721247248761
2024.823,6.571424973251674
2024.877,7.233317587073622
2024.931,7.979486365928155
2024.985,8.823014202986062
2025.038,9.7605565073118
2025.092,10.845610304336605
2025.146,12.08352358684033
2025.2,13.500619979851338
2025.254,15.12862721607729
2025.308,17.00597568686849
2025.362,19.179457160627617
2025.415,21.655951295306597
2025.469,24.598226548911818
2025.523,28.050068004923386
2025.577,32.12002576864025
2025.631,36.944399281132874
2025.685,42.69559879692784
2025.738,49.45369555851189
2025.792,57.75128925833487
2025.846,67.83708957303651
2025.9,80.18900279159152
2025.954,95.43956128635047
2026.008,114.43545702466726
2026.062,138.3240079228279
2026.115,168.04779381715693
2026.169,206.88266120348848
2026.223,257.4205875434919
2026.277,324.108577698989
2026.331,413.47736011429134
2026.385,535.3272254787744
2026.438,701.0310135502102
2026.492,940.1675555350798
2026.546,1288.5397188235409
2026.6,1811.0088675561854
2026.654,2621.6315791365437
2026.708,3930.891005453844
2026.762,6150.189889565133
2026.815,10042.540626786958
2026.869,17674.887359235676
2026.923,33920.0999014246
2026.977,73243.90682224363
2027.031,187505.22123835294
2027.085,627251.168366411
2027.138,3274158.6553463372
