year_decimal,horizon_minutes
2020.1079234973286,0.30225210029194854
2020.1106557377657,0.3025442975925158
2020.1133879782028,0.3028366011994945
2020.11612021864,0.3031290111902719
2020.118852459077,0.3034215276423201
2020.1215846995142,0.30371415063319573
2020.1243169399513,0.3040068802405402
2020.1270491803884,0.30429971654207966
2020.1297814208256,0.3045926596156254
2020.1325136612627,0.3048857095390742
2020.1352459016998,0.30517886639040764
2020.137978142137,0.3054721302476928
2020.140710382574,0.3057655011890826
2020.1434426230112,0.3060589792928154
2020.1461748634483,0.3063525646372152
2020.1489071038854,0.30664625730069217
2020.1516393443226,0.30694005736174235
2020.1543715847597,0.30723396489894794
2020.1571038251968,0.30752797999097736
2020.159836065634,0.3078221027165857
2020.162568306071,0.30811633315461445
2020.1653005465082,0.30841067138399175
2020.1680327869453,0.3087051174837325
2020.1707650273825,0.3089996715329386
2020.1734972678196,0.3092943336107988
2020.1762295082567,0.30958910379658927
2020.1789617486938,0.3098839821696733
2020.181693989131,0.31017896880950185
2020.184426229568,0.3104740637956131
2020.1871584700052,0.3107692672076332
2020.1898907104423,0.311064579125276
2020.1926229508795,0.3113599996283432
2020.1953551913166,0.3116555287967248
2020.1980874317537,0.3119511667103988
2020.2008196721908,0.31224691344943173
2020.203551912628,0.31254276909397827
2020.206284153065,0.31283873372428206
2020.2090163935022,0.3131348074206754
2020.2117486339394,0.3134309902635791
2020.2144808743765,0.3137272823335035
2020.2172131148136,0.31402368371104744
2020.2199453552507,0.3143201944768995
2020.2226775956879,0.3146168147118376
2020.225409836125,0.31491354449672887
2020.228142076562,0.31521038391253015
2020.2308743169992,0.31550733304028844
2020.2336065574364,0.3158043919611403
2020.2363387978735,0.3161015607563125
2020.2390710383106,0.3163988395071217
2020.2418032787477,0.3166962282949753
2020.2445355191849,0.31699372720137076
2020.247267759622,0.3172913363078963
2020.2500000000591,0.31758905569623097
2020.2527322404962,0.3178868854481444
2020.2554644809334,0.3181848256454975
2020.2581967213705,0.3184828763702419
2020.2609289618076,0.3187810377044211
2020.2636612022447,0.3190793097301693
2020.2663934426819,0.31937769252971265
2020.269125683119,0.31967618618536875
2020.2718579235561,0.3199747907795472
2020.2745901639933,0.32027350639474944
2020.2773224044304,0.3205723331135689
2020.2800546448675,0.3208712710186914
2020.2827868853046,0.32117032019289493
2020.2855191257418,0.3214694807190499
2020.2882513661789,0.3217687526801197
2020.290983606616,0.3220681361591601
2020.2937158470531,0.3223676312393199
2020.2964480874903,0.32266723800384106
2020.2991803279274,0.3229669565360584
2020.3019125683645,0.32326678691940036
2020.3046448088016,0.32356672923738883
2020.3073770492388,0.32386678357363907
2020.310109289676,0.32416695001186013
2020.312841530113,0.32446722863585503
2020.3155737705501,0.32476761952952093
2020.3183060109873,0.3250681227768488
2020.3210382514244,0.32536873846192416
2020.3237704918615,0.3256694666689269
2020.3265027322986,0.3259703074821314
2020.3292349727358,0.326271260985907
2020.331967213173,0.32657232726471747
2020.33469945361,0.32688118377904635
2020.3374316940472,0.32721459564458644
2020.3401639344843,0.3275481325887832
2020.3428961749214,0.3278817947055266
2020.3456284153585,0.3282155820888126
2020.3483606557957,0.3285494948327425
2020.3510928962328,0.32888353303152407
2020.35382513667,0.32921769677947144
2020.356557377107,0.32955198617100484
2020.3592896175442,0.3298864013006513
2020.3620218579813,0.3302209422630442
2020.3647540984184,0.33055560915292426
2020.3674863388555,0.330890402065139
2020.3702185792927,0.33122532109464325
2020.3729508197298,0.3315603663364991
2020.375683060167,0.3318955378858761
2020.378415300604,0.33223083583805174
2020.3811475410412,0.33256626028841124
2020.3838797814783,0.3329018113324478
2020.3866120219154,0.3332374890657627
2020.3893442623526,0.33357329358406596
2020.3920765027897,0.33390922498317543
2020.3948087432268,0.3342452833590184
2020.397540983664,0.3345814688076305
2020.400273224101,0.33491778142515655
2020.4030054645382,0.3352542213078503
2020.4057377049753,0.33559078855207514
2020.4084699454124,0.3359274832543037
2020.4112021858496,0.33626430551111847
2020.4139344262867,0.33660125541921176
2020.4166666667238,0.3369383330753857
2020.419398907161,0.33727553857655257
2020.422131147598,0.33761287201973533
2020.4248633880352,0.33795033350206716
2020.4275956284723,0.3382879231207917
2020.4303278689094,0.33862564097326386
2020.4330601093466,0.3389634871569493
2020.4357923497837,0.3393014617694249
2020.4385245902208,0.339639564908379
2020.441256830658,0.3399777966716111
2020.443989071095,0.3403161571570329
2020.4467213115322,0.34065464646266747
2020.4494535519693,0.3409932646866501
2020.4521857924065,0.34133201192722823
2020.4549180328436,0.34167088828276154
2020.4576502732807,0.34200989385172265
2020.4603825137178,0.3423490287326965
2020.463114754155,0.3426882930243811
2020.465846994592,0.34302768682558726
2020.4685792350292,0.3433672102352394
2020.4713114754663,0.34370686335237494
2020.4740437159035,0.3440466462761451
2020.4767759563406,0.3443865591058147
2020.4795081967777,0.3447266019407627
2020.4822404372148,0.34506677488048204
2020.484972677652,0.34540707802457965
2020.487704918089,0.3457475114727774
2020.4904371585262,0.34608807532491126
2020.4931693989633,0.34642876968093245
2020.4959016394005,0.34676959464090695
2020.4986338798376,0.34711055030501575
2020.5013661202747,0.34745163677355523
2020.5040983607119,0.34779285414693745
2020.506830601149,0.3481342025256901
2020.509562841586,0.34847568201045653
2020.5122950820232,0.34881729270199624
2020.5150273224604,0.3491590347011849
2020.5177595628975,0.3495009081090147
2020.5204918033346,0.34984291302659415
2020.5232240437717,0.3501850495551486
2020.5259562842089,0.35052731779602064
2020.528688524646,0.35086971785066934
2020.531420765083,0.35121224982067156
2020.5341530055202,0.3515549138077217
