p_H,p_AI,a,b,c,r_squared,t50_t80_ratio,sigmoid_L,sigmoid_k,sigmoid_x0,overall_ai_win,score
0.9,0.92,0.05,0.3,1.2,0.982171715027093,2.9909457571490705,95.86625726962431,-3.2188129292244616,1.1204064092138692,35.79,0.7298280975536421
0.9,0.95,0.05,0.75,1.1,0.9821346668841595,2.963406071800912,91.07303993347848,-3.7746409441695024,1.4933935606359097,44.87,0.7252580294493519
0.9,0.92,0.05,0.5,1.2,0.985313541503737,2.944979491415986,92.09760979810333,-3.6603103349491652,1.136390072943882,34.75,0.7245325479257255
0.9,0.95,0.1,0.5,1.1,0.9766986258391999,2.980919396408593,94.46317058060427,-3.3584033050480606,1.3211421861603105,41.160000000000004,0.7241213640923382
0.9,0.99,0.05,0.3,1.2,0.9582955596337577,3.020716055958815,96.17228494672385,-3.1640346729413173,1.6502834074363055,51.959999999999994,0.7168319087111541
0.9,0.99,0.05,0.3,1.3,0.9358170458342305,2.9180279170792107,99.99999999999999,-2.980704858863159,1.1867685745830432,40.089999999999996,0.6838343180325226
0.9,0.95,0.02,0.75,1.2,0.9870997148588594,2.694057906477694,89.30138998842905,-4.440215873329012,1.5357939551248012,45.28,0.6818937442326435
0.9,0.92,0.1,0.75,1.1,0.9851530469015448,2.7007772985091525,91.17671958944781,-4.111448003733684,1.1212086838905084,34.1,0.6817760071732742
0.9,0.95,0.05,0.5,1.2,0.9777008397377248,2.7175803472528584,95.43959835331187,-3.568666205773266,1.2631661853258715,39.68,0.6796506910892768
0.9,0.95,0.05,0.3,1.3,0.9607524877536824,2.7590060354493744,99.99999999999973,-3.1452887679470556,0.9819771082313115,33.68,0.6751364191660745
0.9,0.99,0.1,0.3,1.2,0.9058692248664517,2.958543706727803,99.99999999999802,-2.942812850463924,0.9772621354308151,34.39,0.668195973858194
0.9,0.92,0.05,0.5,1.3,0.9761390050396003,2.6078218638190522,93.88025195086263,-3.894035242757805,0.9718888657771506,30.55,0.6584435479474829
0.9,0.92,0.05,0.3,1.3,0.974270202206535,2.595412520888069,99.99999999999999,-3.3468685572464207,0.8717173314717911,30.15,0.6548593987339276
0.9,0.95,0.02,0.75,1.3,0.9840147879206287,2.552782394097806,91.32868367704552,-4.334552139606198,1.3355560372078616,40.17,0.6532608428173089
0.9,0.92,0.05,0.75,1.2,0.9776750524113207,2.550697480198464,90.37929282283187,-4.496416390785032,1.0661714175415433,32.22,0.6486526560721896
0.9,0.95,0.1,0.3,1.2,0.9277461322480964,2.731878665361497,99.99999999999999,-3.1762129260198595,0.8188169164350879,29.69,0.6473588070029245
0.9,0.95,0.1,0.75,1.1,0.9825940071652927,2.5263649648508935,96.00255202579238,-3.7912226474363324,1.2004685305047025,38.129999999999995,0.6472069556904836
0.9,0.99,0.1,0.5,1.1,0.9733491502672971,2.527234540275263,96.24883641958083,-3.765144402163444,1.61640980910749,51.06,0.641285113911512
0.9,0.92,0.1,0.3,1.2,0.9429391462451259,2.6119777360671343,99.99999999999612,-3.3246903148679796,0.7330412361896492,26.91,0.6367997023585841
0.9,0.99,0.05,0.5,1.2,0.972593251716711,2.438244471188659,97.74847565280166,-3.7709556574842056,1.4793949911274995,47.46,0.6233546560113846
0.9,0.95,0.05,0.5,1.3,0.9739883643193444,2.425055605679184,97.58558529480221,-3.8091273788394333,1.0525558460463802,34.03,0.6216074299027833
0.9,0.92,0.1,0.5,1.2,0.9763386832441578,2.333406432887932,95.26605720235429,-4.230896377067535,0.8798927017621097,28.38,0.6043005691279545
0.9,0.99,0.1,0.75,1.1,0.9727871994755329,2.280745511515423,98.27859202297672,-4.02500582541372,1.4179788085799865,45.69,0.5909995745802776
0.9,0.95,0.05,0.75,1.2,0.9772285637817519,2.267952872330672,92.94603545645003,-4.693472074161571,1.1561775680505975,35.66,0.5909495074861134
0.9,0.95,0.1,0.5,1.2,0.9686196961565755,2.2784585170102916,99.99999999999999,-3.8762162975139742,0.9331580116462899,31.35,0.5879818015533296
0.9,0.99,0.02,0.3,1.3,0.9510687768020213,2.311110837172996,89.10660154498177,-5.297375691335007,2.360282240553609,69.56,0.5840943138741576
0.9,0.99,0.05,0.5,1.3,0.9631076719129298,2.2501159589338653,99.99999999999999,-3.9360450735019645,1.1958053099014354,39.489999999999995,0.5786080451054055
0.9,0.99,0.1,0.5,1.2,0.956326137181028,2.260915009228553,99.99999999999844,-3.9129439487649402,1.0738569436310135,36.02,0.5768232627488187
