time,cumulative_progress,automation_fraction,progress_rate,software_progress_rate,coding_labor,research_stock,research_effort,experiment_capacity,human_only_progress_rate,ai_labor_contribution,human_labor_contribution,ai_software_progress_multiplier
2012.4,0.7285986968853857,1.00127175960776e-05,1.8210166647778925,1.1678041509778925,14.848850270734792,0.0809498843589897,0.06671447995939768,0.06671447995939335,1.820998919280416,0.004038588463176396,14.844811682271615,1.0000466216000146
2012.5,0.9106808097243468,1.0904517890123302e-05,1.820599240845795,1.167386727045795,15.243625038615457,0.08790383334602218,0.07241965028503172,0.07241965028502703,1.8205811450649436,0.004184355626525971,15.239440682988931,1.0000470534362855
2012.6,1.092695107892777,1.1875369718329254e-05,1.8199072007178227,1.1666946869178227,15.648895359785781,0.09546869731208864,0.07860534432336089,0.0786053443233558,1.819888753968144,0.004335004217853822,15.644560355567927,1.0000474851118537
2012.7,1.274658969381299,1.2932351835638832e-05,1.8194009415463879,1.1661884277463879,16.064940274395003,0.10365830262265563,0.08531132327032168,0.08531132327031614,1.8193821359080056,0.004490694232416104,16.060449580162587,1.0000479166679348
2012.8,1.4565739956968393,1.4083088489628879e-05,1.8189457280933594,1.1657332142933594,16.492046237888385,0.11253479504205006,0.09258057050450341,0.0925805705044974,1.8189265576325795,0.0046515873171699695,16.487394650571215,1.0000483481083273
2012.9,1.638435596870623,1.5335833761601062e-05,1.8184052537976285,1.1651927399976285,16.93050732003653,0.12216859655224135,0.10045954632369031,0.1004595463236838,1.8183857147682887,0.00481784871173474,16.925689471324795,1.000048779422143
2013.0,1.8202391829322215,1.6699559903975804e-05,1.8177254589161898,1.1645129451161897,17.38062540869915,0.13263012913511452,0.10899846222886779,0.10899846222886073,1.8177055485311606,0.004989648699147864,17.37563576,1.0000492105984982
2013.1,2.001980163912447,1.8184018796009095e-05,1.817091758251589,1.1637007319115893,17.842710417632674,0.1439898147726193,0.11825157619831222,0.11825157619830456,1.817071254543079,0.005167162754695198,17.83754325487798,1.000049641626505
2013.2,2.1836539498421104,1.9799808541701485e-05,1.8163760790396966,1.1628065401596963,18.317080500000852,0.1563180754467136,0.12827751051865363,0.1282775105186453,1.8163550270484237,0.0053505716991111285,18.31172992830174,1.0000500724952797
2013.3,2.365247096650781,2.1558356184608893e-05,1.8155745391100693,1.1618264876900692,18.80406226497665,0.16969756082564014,0.13913959379384666,0.13913959379383764,1.8155529840093738,0.005540059552274101,18.798522205424376,1.000050503172935
